Title,Artist,Nationality,Gender,Medium,Dimensions,CreditLine,Classification,DateAcquired,URL,Height (cm),Width (cm)
l'Emprunt de la Dí_ense Nationale,Jules-Abel Faivre,(French),(Male),"Poster, gouache-litho","32 x 45"" (81.3 x 114.3cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,,81.3,114.3
"You, Wireless Fans, Help the Navy Get The Hun Submarine",C. B. Falls,(American),(),Lithograph,"44 x 27"" (111.8 x 68.6cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8890,111.8,68.6
Be a U.S. Marine!,James Montgomery Flagg,(American),(Male),Lithograph,"42 x 27"" (106.7 x 68.6cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8892,106.7,68.6
"Wake up America! Civilization Calls Every Man, Woman and Child!",James Montgomery Flagg,(American),(Male),Lithograph,"42 x 28"" (106.7 x 71.1cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8894,106.7,71.1
First in the Fight,James Montgomery Flagg,(American),(Male),Gouache-lithograph,"42 x 28"" (106.7 x 71.1 cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8895,106.7,71.1
"I am Telling You On June 28th I Expect You to Enlist in the Army of War Savers to Back Up My Army of Fighters, W.S.S. Enlistment",James Montgomery Flagg,(American),(Male),Gouache-lithograph,"30 x 20"" (76.2 x 50.8 cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8897,76.2,50.8
The Navy Needs You! Don't Read American History - Make It! U.S. Navy Recruiting Station,James Montgomery Flagg,(American),(Male),Gouache-lithograph,"42 x 28"" (106.7 x 71.1 cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8900,106.7,71.1
Women Bring All the Voters into the World,James Montgomery Flagg,(American),(Male),"Poster, gouache-litho","30 x 22"" (76.2 x 55.9cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,,76.2,55.9
Strike Now! He's Fighting For You,Robert Gair Company,(American),(),Lithograph,"30 x 20"" (76.2 x 50.8 cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8904,76.2,50.8
"U.S. Navy, ""Here he is, Sir."" We Need Him and You Too!, Navy Recruiting Station",Charles Dana Gibson,(American),(Male),Lithograph,"33 x 27"" (83.8 x 68.6 cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8906,83.8,68.6
Help Crush the Menace of the Seas,J. L. Grosse,(American),(),Lithograph,"28 x 18"" (71.1 x 45.7cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8908,71.1,45.7
Enlist Today,Guenther,(Nationality Unknown),(),Lithograph,"40 x 27"" (101.6 x 68.6cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8910,101.6,68.6
Are You Working With Schwab?,C. Haimovitz,(American),(),"Poster, gouache-litho","32 x 22"" (81.3 x 55.9cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,,81.3,55.9
"Good Bye, Dad, I'm Off to Fight for Old Glory, You Buy U.S. Gov't Bonds",L. Harris,(Nationality Unknown),(),Lithograph,"30 x 20"" (76.2 x 50.8cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8914,76.2,50.8
"In The Name of Mercy, Give!",Albert Herter,(American),(Male),Gouache-lithograph,"38 x 25"" (96.5 x 63.5 cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8916,96.5,63.5
One of the Thousand Y.M.C.A. Girls in France,Kein,(American),(),Lithograph,"28 x 42"" (71.1 x 106.7cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8918,71.1,106.7
Hold Up Your End!,W. B. King,(American),(),Lithograph,"27 x 20"" (68.6 x 50.8cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8920,68.6,50.8
Blood or Bread?,Henry Patrick Raleigh,(American),(Male),Lithograph,"29 x 21"" (73.7 x 53.3cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8922,73.7,53.3
"Halt the Hun! Buy U.S. Government Bonds, Third Liberty Loan",Henry Patrick Raleigh,(American),(Male),Gouache-lithograph,"30 x 22"" (76.2 x 55.9 cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8924,76.2,55.9
Hun or Home? Buy More Liberty Bonds,Henry Patrick Raleigh,(American),(Male),Gouache and lithograph,"30 x 20"" (76.2 x 50.8cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8926,76.2,50.8
On The Job For Victory,Jonas Lie,(American),(Male),Gouache-lithograph,"29 x 38"" (73.7 x 96.5 cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8927,73.7,96.5
Fate Tutti il Vostro Dovere!,Achille Mauzan,(Italian),(),Lithograph,"78 x 55"" (198.1 x 139.7cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8928,198.1,139.7
June 28th is National War Saving Day,A.A.P.,(American),(),Lithograph,"32 x 21"" (81.3 x 53.3 cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8929,81.3,53.3
"Save Your Child from Autocracy and Poverty, Buy War Savings Stamps",Herbert Paus,(American),(Male),Gouache-lithograph,"30 x 20"" (76.2 x 50.8 cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8930,76.2,50.8
