Title,Artist,Nationality,Gender,Medium,Dimensions,CreditLine,Classification,DateAcquired,URL,Height (cm),Width (cm)
Te Atua (The Gods) from Noa Noa (Fragrant Scent),Paul Gauguin,(French),(Male),Woodcut,"composition: 8 1/16 x 14"" (20.5 x 35.5 cm); sheet: 9 3/4 x 14 13/16"" (24.7 x 37.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66432,20.5,35.5
"Watched by the Spirit of the Dead (Manao Tupapau) from the portfolio L'Estampe originale, no. VI",Paul Gauguin,(French),(Male),Lithograph,"Composition: 7 1/16 x 10 3/4"" (18 x 27.3cm)
Sheet: 16 9/16 x 23 7/16"" (42 x 59.5cm)
Frame (estimate): 14 1/16 x 17 3/4"" (35.7 x 45.1 cm)","The Museum of Modern Art, New York. Gift of Abby Aldrich Rockefeller",Print,4/5/40,http://www.moma.org/collection/works/66451,18,27.3
Human Misery (Misí_es humaines),Paul Gauguin,(French),(Male),Woodcut,"composition (irreg.): 7 9/16 x 11 3/4"" (19.2 x 29.9 cm); sheet: 8 7/8 x 11 3/4"" (22.6 x 29.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66471,19.2,29.9
Auti te pape (Women at the River) from Noa Noa (Fragrant Scent),Paul Gauguin,(French),(Male),Woodcut,"composition: 8 1/16 x 14"" (20.5 x 35.5cm); sheet: 9 3/4 x 15 5/8"" (24.8 x 39.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66514,20.5,35.5
Nave nave fenua (Delightful Land) from Noa Noa (Fragrant Scent),Paul Gauguin,(French),(Male),Woodcut,"composition: 14 x 8 1/16"" (35.5 x 20.5 cm); sheet: 15 11/16 x 9 13/16"" (39.9 x 24.9cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66537,35.5,20.5
The Stevedores: PL. XXXIII (Now There's a Dandy Who Amused Himself at the Ball Like Lead in Champa,Paul Gavarni,(French),(Male),Lithograph,"Comp. 7 7/8 x 6 1/8"" (19.9 x 15.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,19.9,15.6
"The Stevedores: PL. LII (I says to her, I says, Madam, if you have the nerve to come in here while",Paul Gavarni,(French),(Male),Lithograph,"Comp. 7 5/8 x 6 1/4"" (19.3 x 15.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,19.3,15.7
New Works by Gavarni. Household Impressions. No. 27: Mr. Solomon,Paul Gavarni,(French),(Male),Lithograph,"Comp. 7 5/8 x 6 1/2"" (19.3 x 16.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,19.3,16.3
Marcelle the Blonde (Marcelle la Blonde),Juan Gris,(Spanish),(Male),Lithograph,"composition (irreg.): 11 5/8 x 8 3/4"" (29.5 x 22.3 cm); sheet: 15 5/8 x 12 3/4"" (39.7 x 32.4 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66661,29.5,22.3
"Marcelle, The Brunette",Juan Gris,(Spanish),(Male),Transfer zincograph (or lithograph),"composition: 11 11/16 x 9 1/16"" (29.7 x 23 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66677,29.7,23
Portrait of a Boy,Juan Gris,(Spanish),(Male),Transfer zincograph (or lithograph),"composition: 12 9/16 x 10 1/16"" (31.9 x 25.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66706,31.9,25.6
Fishermen (Les pí_heurs),Marcel Gromaire,(French),(Male),Etching,"plate: 9 1/4 x 6 13/16"" (23.5 x 17.3 cm); sheet: 14 1/4 x 10 3/4"" (36.2 x 27.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66742,23.5,17.3
The Automobile Driver (Automobiliste),Marcel Gromaire,(French),(Male),Etching,"plate: 7 3/16 x 9 11/16"" (18.2 x 24.6 cm); sheet: 10 3/4 x 14 3/8"" (27.3 x 36.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66757,18.2,24.6
Cow Boy de Ciní_a,Marcel Gromaire,(French),(Male),Etching,"plate: 9 5/16 x 6 15/16"" (23.7 x 17.7 cm); sheet: 14 3/8 x 10 3/4"" (36.5 x 27.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66801,23.7,17.7
Nude in Armchair (Nu dans un fauteuil),Marcel Gromaire,(French),(Male),Etching,"plate: 9 5/16 x 7"" (23.7 x 17.8 cm); sheet: 14 1/2 x 10 11/16"" (36.8 x 27.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66823,23.7,17.8
Portrait of Max Schmeling,Rudolf Grossmann,(German),(Male),Lithograph,"composition (irreg.): 19 7/16 x 14"" (49.3 x 35.5 cm); sheet: 28 15/16 x 22 13/16"" (73.5 x 58 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66856,49.3,35.5
Gypsy Music (Zigeunermusik),George Grosz,(American),(Male),Lithograph,"composition: 19 3/16 x 13 5/8"" (48.8 x 34.6 cm); sheet: 23 15/16 x 19 5/8"" (60.8 x 49.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66885,48.8,34.6
"Portrait of E.H. (Bildnis E.H.) for the portfolio accompanying the deluxe edition of the periodical Der Anbruch, 2 (no. 1-12)",Erich Heckel,(German),(Male),Woodcut,"composition: 14 5/16 x 11 1/2"" (36.4 x 29.2 cm); sheet: 25 x 18 1/16"" (63.5 x 45.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66898,36.4,29.2
Portrait of E.G. (Bildnis E.G.),Erich Heckel,(German),(Male),Drypoint with roulette,"plate: 12 3/16 x 10 13/16"" (31 x 27.5 cm); sheet: 21 11/16 x 15 1/2"" (55.1 x 39.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66913,31,27.5
Fjord Landscape (Fí_rdelandschaft),Erich Heckel,(German),(Male),Drypoint and tonal etching,"plate: 10 1/16 x 13 7/8"" (25.6 x 35.2 cm); sheet: 15 7/8 x 21 3/4"" (40.3 x 55.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66935,25.6,35.2
Antwerp (Antwerpen),Erich Heckel,(German),(Male),"Drypoint, etching, and tonal etching","plate: 12 1/2 x 7 13/16"" (31.8 x 19.9 cm); sheet: 18 11/16 x 14 1/8"" (47.4 x 35.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66956,31.8,19.9
"Girl, Washing (Mí_dchen, waschend)",Karl Hofer,(German),(Male),Lithograph,"composition (irreg.): 8 1/8 x 4 7/8"" (20.7 x 12.4 cm); page: 12 11/16 x 9 5/16"" (32.3 x 23.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/66987,20.7,12.4
Milliner No. I (Putzmacherin I),Karl Hofer,(German),(Male),Lithograph,"composition (irreg.): 15 1/16 x 10 7/16"" (38.2 x 26.5 cm); sheet: 19 3/16 x 14 5/8"" (48.7 x 37.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67002,38.2,26.5
Milliner No. IV (Putzmacherin IV),Karl Hofer,(German),(Male),Lithograph,"composition (irreg.): 13 1/16 x 7 11/16"" (33.2 x 19.5 cm); sheet: 18 x 14 1/8"" (45.7 x 35.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67016,33.2,19.5
Carnival (Carneval),Karl Hofer,(German),(Male),Lithograph,"composition: 13 1/4 x 8 13/16"" (33.7 x 22.4 cm); sheet: 17 3/4 x 14 3/16"" (45.1 x 36.1 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67038,33.7,22.4
Various Aspects of the Author - Self Portrait,Max Jacob,(French),(Male),"Drypoint
Transfer lithograph, printed in black","composition: 18 13/16 x 12 5/8"" (47.8 x 32 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67052,47.8,32
The Harbor of Split (Der Hafen von Split) from the portfolio 15 Dalmatian Etchings (15 Dalmatinische Radierungen),Franz Maria Jansen,(German),(Male),Drypoint,"plate: 9 3/4 x 13 5/8"" (24.8 x 34.6 cm); sheet: 14 7/8 x 21 1/8"" (37.8 x 53.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67067,24.8,34.6
Girl with a Curl,Augustus John,(British),(Male),Etching and drypoint,"4 15/16 x 4"" (12.5 x 10.1 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,12.5,10.1
A Girl's Head (F),Augustus John,(British),(Male),Etching,"Plate 6 7/8 x 5 7/16"" (17.4 x 13.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,17.4,13.8
"Jacob Epstein, Sculptor, No. 1",Augustus John,(British),(Male),Etching,"Plate 4 15/16 x 3 15/16"" (12.5 x 9.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,12.5,9.9
Small Worlds XI (Kleine Welten XI) from Small Worlds (Kleine Welten),Vasily Kandinsky,(French),(Male),"Drypoint from a portfolio of twelve prints, six lithographs (including two transferred from woodcuts), four drypoints, and two woodcuts","plate: 9 5/16 x 7 3/4"" (23.7 x 19.7 cm); sheet: 11 15/16 x 10 9/16"" (30.3 x 26.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67141,23.7,19.7
Small Worlds IX (Kleine Welten IX) from Small Worlds (Kleine Welten),Vasily Kandinsky,(French),(Male),"Drypoint from a portfolio of twelve prints, six lithographs (including two transferred from woodcuts), four drypoints, and two woodcuts","plate: 9 3/8 x 7 13/16"" (23.8 x 19.8 cm); sheet: 11 13/16 x 10 9/16"" (30 x 26.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67159,23.8,19.8
Small Worlds VI (Kleine Welten VI) from Small Worlds (Kleine Welten),Vasily Kandinsky,(French),(Male),"Woodcut from a portfolio of twelve prints, six lithographs (including two transferred from woodcuts), four drypoints, and two woodcuts
","composition: 10 3/4 x 9 1/8"" (27.3 x 23.2 cm); sheet: 14 7/16 x 12 3/8"" (36.7 x 31.4 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67176,27.3,23.2
Small Worlds VII (Kleine Welten VII) from Small Worlds (Kleine Welten),Vasily Kandinsky,(French),(Male),"Lithograph (transferred from woodcut) from a portfolio of twelve prints, six lithographs (including two transferred from woodcuts), four drypoints, and two woodcuts
","composition: 10 5/8 x 9 1/8"" (27 x 23.2 cm); sheet: 13 1/4 x 11 1/8"" (33.7 x 28.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67193,27,23.2
Small Worlds IV (Kleine Welten IV) from Small Worlds (Kleine Welten),Vasily Kandinsky,(French),(Male),"Lithograph from a portfolio of twelve prints, six lithographs (including two transferred from woodcuts), four drypoints, and two woodcuts
","composition (irreg.): 10 1/2 x 10 1/16"" (26.6 x 25.6 cm); sheet: 13 1/4 x 11 3/8"" (33.6 x 28.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67212,26.6,25.6
Small Worlds III (Kleine Welten III) from Small Worlds (Kleine Welten),Vasily Kandinsky,(French),(Male),"Lithograph from a portfolio of twelve prints, six lithographs (including two transferred from woodcuts), four drypoints, and two woodcuts
","composition: 10 15/16 x 9 1/16"" (27.8 x 23 cm); sheet: 13 1/2 x 11"" (34.3 x 28 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67234,27.8,23
Leopards (Leoparden),Max Kaus,(German),(Male),Drypoint and aquatint,"plate: 9 3/4 x 11 3/4"" (24.8 x 29.8 cm); sheet: 15 5/16 x 18 1/8"" (38.9 x 46 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67249,24.8,29.8
Landscape at Bodensee (Landschaft am Bodensee),Max Kaus,(German),(Male),Drypoint,"plate: 9 13/16 x 11 3/4"" (24.9 x 29.8 cm); sheet: 12 3/8 x 16 5/16"" (31.4 x 41.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67270,24.9,29.8
Woman and Doe (Frau mit Reh),Moissey Kogan,(Russian),(Male),Linoleum cut,"composition: 14 13/16 x 8 3/8"" (37.6 x 21.3 cm); sheet (irreg.): 18 3/8 x 9 3/8"" (46.7 x 23.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67298,37.6,21.3
Cross-Legged Female Nude (Weiblicher Akt im Schneidersitz),Moissey Kogan,(Russian),(Male),Linoleum cut,"composition: 10 7/8 x 7 15/16"" (27.6 x 20.2 cm); sheet: 12 5/16 x 11 1/8"" (31.2 x 28.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67322,27.6,20.2
Worker Woman with Sleeping Child (Arbeiterfrau mit schlafendem Jungen),Kí_the Kollwitz,(German),(Female),Lithograph,"composition (irreg.): 15 3/8 x 13 1/8"" (39.1 x 33.4 cm); sheet: 21 5/8 x 15 3/4"" (55 x 40 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67353,39.1,33.4
Frontal Crouching Woman with Crossed Hands (Hockende Frau von vorne mit í_bereinander gelegten Hí_nden) from the portfolio Seventeen Lithographs (Siebzehn Steinzeichnungen),Kí_the Kollwitz,(German),(Female),Lithograph,"composition (irreg): 11 5/8 x 8 11/16"" (29.6 x 22 cm); sheet: 17 11/16 x 13 7/16"" (44.9 x 34.1 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67372,29.6,22
Child's Head (Kinderkopf),Kí_the Kollwitz,(German),(Female),Lithograph,"composition (irreg.): 5 5/16 x 4 1/8"" (13.5 x 10.5 cm); sheet: 10 3/8 x 7 11/16"" (26.4 x 19.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67392,13.5,10.5
Stradivari,Aleksei Kravchenko,(Russian),(Male),Wood engraving,"Block 7 1/16 x 5 3/8"" (18.0 x 13.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,18,13.6
Woman With Children Standing in Rain from Life of a Woman,Aleksei Kravchenko,(Russian),(Male),Wood engraving,"Block 9 3/16 x 7 3/16"" (23.3 x 18.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,23.3,18.3
From Life of a Woman,Aleksei Kravchenko,(Russian),(Male),Wood engraving,"Block 9 1/4 x 7 1/4"" (23.6 x 18.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,23.6,18.3
"Woman in Wheat Field, Nursing Child",Aleksei Kravchenko,(Russian),(Male),Wood engraving,"Block 9 1/4 x 7 3/16"" (23.5 x 18.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,23.5,18.3
Woman Loading a Sailboat,Aleksei Kravchenko,(Russian),(Male),Wood engraving,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,,,
Spanish Women (Les Espagnoles),Marie Laurencin,(French),(Female),Etching,"plate: 10 11/16 í_7 13/16"" (27.2 í_19.9 cm); sheet: 18 1/4 í_12 13/16"" (46.3 í_32.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67605,27.2,19.9
"Head of a Girl, Full Face (Tí_e de jeune fille, de face)",Marie Laurencin,(French),(Female),Lithograph,"composition (irreg.): 8 í_5 11/16"" (20.3 í_14.4 cm); sheet: 10 11/16 í_8 7/8"" (27.1 í_22.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67625,20.3,14.4
Little Girl with Rose (Petite fille í_la rose),Marie Laurencin,(French),(Female),Lithograph,"composition (irreg.): 9 7/16 í_7 1/16"" (24 í_18 cm); sheet (irreg.): 17 1/16 í_12 11/16"" (43.3 í_32.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67649,24,18
The Swan (Le Cygne),Marie Laurencin,(French),(Female),Lithograph,"composition: 9 1/8 í_7 1/2"" (23.1 í_19 cm); sheet: 17 1/16 í_11 13/16"" (43.4 í_30 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67670,23.1,19
Gerda,Marie Laurencin,(French),(Female),Lithograph,"composition (irreg.): 12 1/16 í_7 3/8"" (30.7 í_18.7 cm); sheet: 17 1/2 í_11 15/16"" (44.4 í_30.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67691,30.7,18.7
"Head of a Girl, Full Face (Tí_e de jeune fille, de face)",Marie Laurencin,(French),(Female),Lithograph,"composition (irreg.): 8 í_5 11/16"" (20.3 í_14.4 cm); sheet: 12 15/16 í_9 15/16"" (32.8 í_25.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67708,20.3,14.4
Mythical Animals (Animaux fabuleux),Marie Laurencin,(French),(Female),Lithograph,"composition: 6 11/16 í_7 5/16"" (17 í_18.5 cm); sheet: 15 3/4 í_11 1/2"" (40 í_29.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67744,17,18.5
The Plumed Horsewoman (La Cavalií_e),Marie Laurencin,(French),(Female),Lithograph,"composition: 7 í_6 7/8"" (17.8 í_17.5 cm); sheet: 12 3/8 í_9 1/2"" (31.5 í_24.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67774,17.8,17.5
The Horsewoman (La Cavalií_e),Marie Laurencin,(French),(Female),Lithograph,"composition: 9 7/16 í_7 1/4"" (24 í_18.4 cm); sheet: 17 1/16 í_12 11/16"" (43.3 í_32.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67805,24,18.4
Self Portrait (Autoportrait),Marie Laurencin,(French),(Female),Lithograph,"composition (irreg.): 8 1/8 í_5 9/16"" (20.7 í_14.2 cm); sheet: 18 5/8 í_12 3/16"" (47.3 í_30.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67826,20.7,14.2
Head of a Girl (Tí_e de jeune fille),Marie Laurencin,(French),(Female),Lithograph,"composition (irreg.): 6 1/8 í_5 1/8"" (15.5 í_13 cm); sheet: 9 5/8 í_7 1/2"" (24.5 í_19 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67873,15.5,13
Horseback Ride (La Promenade í_cheval),Marie Laurencin,(French),(Female),Etching with roulette,"plate: 9 3/8 í_7 1/16"" (23.8 í_17.9 cm); sheet: 16 5/16 í_12 13/16"" (41.5 í_32.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67890,23.8,17.9
Girls on a Balcony (Jeunes filles au balcon),Marie Laurencin,(French),(Female),Etching and drypoint,"plate: 9 11/16 í_7 1/16"" (24.6 í_18 cm); sheet: 12 13/16 í_9 13/16"" (32.5 í_25 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67910,24.6,18
Pantomime,Marie Laurencin,(French),(Female),Etching,"plate: 7 15/16 í_10"" (20.2 í_25.4 cm); sheet: 11 7/16 í_15 1/2"" (29 í_39.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67926,20.2,25.4
"Girls, or The Ballet (Les Jeunes Filles, ou Le Ballet)",Marie Laurencin,(French),(Female),Drypoint and etching,"plate: 7 3/4 í_9 3/4"" (19.7 í_24.7 cm); sheet: 10 9/16 í_13 3/4"" (26.9 í_35 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67940,19.7,24.7
Diana of the Hunt (Diane í_la chasse),Marie Laurencin,(French),(Female),Etching,"plate: 8 11/16 í_5 9/16"" (22 í_14.2 cm); sheet: 12 3/8 í_8 3/4"" (31.5 í_22.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67957,22,14.2
Girls with Violin-Cello (Jeunes filles au violoncelle),Marie Laurencin,(French),(Female),Etching and drypoint,"plate: 8 í_7 11/16"" (20.3 í_19.5 cm); sheet: 15 3/4 í_12 1/2"" (40 í_31.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/67985,20.3,19.5
The Beautiful Scottish Girl (La Belle í_ossaise),Marie Laurencin,(French),(Female),Etching,"plate: 9 11/16 í_7 11/16"" (24.6 í_19.6 cm); sheet: 13 11/16 í_10 1/2"" (34.8 í_26.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68010,24.6,19.6
Juliette,Marie Laurencin,(French),(Female),Lithograph,"composition (irreg.): 12 7/16 í_9 3/8"" (31.6 í_23.8 cm); sheet: 14 15/16 í_11"" (37.9 í_28 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68023,31.6,23.8
Portrait of Baroness Gourgaud (Portrait de la Baronne Gourgaud),Marie Laurencin,(French),(Female),Lithograph,"composition (irreg.): 12 í_6 7/16"" (30.5 í_16.4 cm); sheet: 19 5/16 í_12 13/16"" (49 í_32.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68037,30.5,16.4
Dancer with Flowers (Danceuse aux fleurs),Marie Laurencin,(French),(Female),Lithograph,"composition (irreg.): 12 3/4 í_9 5/16"" (32.4 í_23.7 cm); sheet: 16 1/8 í_12 15/16"" (41 í_32.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68050,32.4,23.7
"Iphigenia, or Three Dancers (Iphigí_ie, ou Les Trois danseuses)",Marie Laurencin,(French),(Female),Etching,"plate: 10 9/16 í_8 1/8"" (26.8 í_20.6 cm); sheet: 12 11/16 í_9 3/4"" (32.3 í_24.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68064,26.8,20.6
The Vase (Le Vase),Fernand Lí_er,(French),(Male),Lithograph,"composition: 21 x 17 1/16"" (53.3 x 43.3 cm); sheet: 27 1/2 x 21 11/16"" (69.9 x 55.1 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68091,53.3,43.3
"Three Women: Two Standing, One Kneeling (Drei Frauen, zwei stehend, eine kniend)",Wilhelm Lehmbruck,(German),(Male),Drypoint,"plate: 8 1/4 x 5 7/8"" (20.9 x 15 cm); sheet: 11 1/2 x 8 1/4"" (29.2 x 21 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68122,20.9,15
"Rape I, woman full figure (Raub I, Weib ganz)",Wilhelm Lehmbruck,(German),(Male),Drypoint,"plate: 11 1/2 x 9 7/16"" (29.2 x 23.9 cm); sheet: 18 x 12 13/16"" (45.7 x 32.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68165,29.2,23.9
Reclining Girl (Sea Mood) [Ruhendes Mí_dchen (Meeresstimmung)],Wilhelm Lehmbruck,(German),(Male),Drypoint,"plate: 5 1/8 x 6 15/16"" (13 x 17.7 cm); sheet: 9 3/16 x 11 5/8"" (23.4 x 29.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68190,13,17.7
Penitent (Bí_íôer),Wilhelm Lehmbruck,(German),(Male),Drypoint,"plate: 7 1/16 x 5 7/16"" (17.9 x 13.8 cm); sheet: 11 1/2 x 8 3/16"" (29.2 x 20.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68206,17.9,13.8
Sleeping Girl (Schlafendes Mí_dchen),Wilhelm Lehmbruck,(German),(Male),Drypoint,"plate: 9 3/8 x 7"" (23.8 x 17.8 cm); sheet: 15 3/16 x 11 5/8"" (38.5 x 29.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68243,23.8,17.8
Contemplative Man (Sinnender Mann),Wilhelm Lehmbruck,(German),(Male),Drypoint,"plate: 9 7/16 x 7"" (24 x 17.8 cm); sheet: 15 7/8 x 11"" (40.3 x 28 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68257,24,17.8
"Mother and Child (kneeling, full) [Mutter und Kind (kniend ganz)]",Wilhelm Lehmbruck,(German),(Male),Drypoint,"plate: 9 3/8 x 6 15/16"" (23.8 x 17.7 cm); sheet: 14 9/16 x 11 1/8"" (37 x 28.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68272,23.8,17.7
"Mother and Child, Small (Mutter und Kind, klein)",Wilhelm Lehmbruck,(German),(Male),Drypoint,"plate: 6 7/16 x 4 13/16"" (16.4 x 12.3 cm); sheet: 16 7/16 x 12 5/16"" (41.7 x 31.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68286,16.4,12.3
Woman Knitting (Strickende Frau),Wilhelm Lehmbruck,(German),(Male),Drypoint,"Plate 6 9/16 x 4 13/16"" (16.6 x 12.2 cm) Sheet 11 1/4 x 8 1/4"" (28.6 x 21.0 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68298,16.6,12.2
Man Ascending (Emporsteigender Mann),Wilhelm Lehmbruck,(German),(Male),Drypoint,"plate: 7 x 9 3/8"" (17.8 x 23.8 cm); sheet: 9 3/16 x 16"" (23.3 x 40.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68310,17.8,23.8
John the Baptist (Johannes),Wilhelm Lehmbruck,(German),(Male),Drypoint,"plate: 9 7/16 x 7"" (23.9 x 17.8 cm); sheet: 15 13/16 x 11 9/16"" (40.1 x 29.4 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68323,23.9,17.8
"Young Man, Half Nude, Turning (Jí_nglings-Halbakt, sich umwendend)",Wilhelm Lehmbruck,(German),(Male),Drypoint,"plate: 6 1/4 x 4 3/4"" (15.8 x 12 cm); sheet: 11 9/16 x 9 1/16"" (29.4 x 23 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68353,15.8,12
"Contemplative Girl (small, full) [Sinnendes Mí_dchen (klein, ganz)]",Wilhelm Lehmbruck,(German),(Male),Drypoint,"plate: 6 5/16 x 4 3/4"" (16.1 x 12 cm); sheet: 12 5/8 x 9 7/8"" (32 x 25.1 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/68376,16.1,12
