Title,Artist,ConstituentID,ArtistBio,Nationality,Gender,Medium,Dimensions,CreditLine,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Height (cm),Width (cm)
"A Little of This, A Little of That",Edward Ruscha,5086,"(American, born 1937)",(American),(Male),Pastel on paper,"22 3/4 x 27 3/4"" (57.8 x 70.5 cm)","Purchased with funds given by Agnes Gund, Mr. and Mrs. James R. Hedges, IV, Jo Carole and Ronald S. Lauder and the General Drawings Fund",Drawing,Drawings & Prints,2/3/00,Y,34126,http://www.moma.org/collection/works/34126,http://www.moma.org/media/W1siZiIsIjI3NDU5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2fad800e42988c14,57.8,70.5
Normandie,Edward Ruscha,5086,"(American, born 1937)",(American),(Male),Powdered graphite and pencil on paper,"14 1/8 x 22 1/2"" (36 x 57.2 cm)","Purchased with funds given by Agnes Gund, Mr. and Mrs. James R. Hedges, IV, Jo Carole and Ronald S. Lauder and the General Drawings Fund",Drawing,Drawings & Prints,2/3/00,Y,34138,http://www.moma.org/collection/works/34138,http://www.moma.org/media/W1siZiIsIjcxNDUzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=d480bad6abc35b2e,35.9,57.1
Smash Triptych,Edward Ruscha,5086,"(American, born 1937)",(American),(Male),Powdered graphite on three sheets of paper,".a: 11 x 10 1/2"" (27.9 x 26.7 cm) .b, .c: 11 3/4 x 10 1/2 "" (29.8 x 26.7 cm)","Purchased with funds given by Agnes Gund, Mr. and Mrs. James R. Hedges IV, Jo Carole and Ronald S. Lauder, and the General Drawings Fund",Drawing,Drawings & Prints,2/3/00,Y,34150,http://www.moma.org/collection/works/34150,http://www.moma.org/media/W1siZiIsIjcxNTk4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=77b3f5d6ac291dc5,27.9,26.7
Standard Collage,Edward Ruscha,5086,"(American, born 1937)",(American),(Male),"Synthetic polymer paint, cut-and-pasted black paper, and pencil on paper","19 7/8 x 37"" (50.5 x 94 cm)","Purchased with funds given by Agnes Gund, Mr. and Mrs. James R. Hedges, IV, Jo Carole and Ronald S. Lauder and the General Drawings Fund",Drawing,Drawings & Prints,2/3/00,Y,34166,http://www.moma.org/collection/works/34166,http://www.moma.org/media/W1siZiIsIjk3MDMyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=a0d454fb78c6191e,50.5,94
T76 M2,Jan J. Schoonhoven,5266,"(Dutch, 1914‰Û_994)",(Dutch),(Male),Felt-tip pen and pencil on paper,"19 7/8 x 12 3/4"" (50 x 32 cm)",Gift of Sarah-Ann and Werner H. Kramarsky,Drawing,Drawings & Prints,2/3/00,Y,34182,http://www.moma.org/collection/works/34182,http://www.moma.org/media/W1siZiIsIjI2Nzg5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b9ec4f941c18e8e4,50.5,32.4
bleu O noir,Jacques VilleglÌ©,6163,"(French, born 1926)",(French),(Male),Torn-and-pasted paper on canvas,"12 x 20 7/8"" (30.5 x 53 cm)",General Drawings Fund,Drawing,Drawings & Prints,2/3/00,Y,34434,http://www.moma.org/collection/works/34434,http://www.moma.org/media/W1siZiIsIjE4OTYzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ae5d26fd8a18d526,30.5,53
Untitled,Jack Youngerman,6524,"(American, born 1926)",(American),(Male),Oil on paper,"11 1/2 x 12 3/4"" (29.2 x 32.4 cm)",General Drawings Fund,Drawing,Drawings & Prints,2/3/00,Y,34453,http://www.moma.org/collection/works/34453,http://www.moma.org/media/W1siZiIsIjI1MTQxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3b6c48499ea7d19c,29.2,32.4
House - South Rotation Red: 1 East,Kevin Appel,8203,"(American, born 1967)",(American),(Male),Synthetic polymer paint on paper,"26 x 40"" (66 x 101.6 cm)",Gift of the Friends of Contemporary Drawing,Drawing,Drawings & Prints,5/17/00,Y,35474,http://www.moma.org/collection/works/35474,http://www.moma.org/media/W1siZiIsIjMwODI3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=15332cbdff961ed4,66,101.6
House - South Rotation: 2 Northeast,Kevin Appel,8203,"(American, born 1967)",(American),(Male),Synthetic polymer paint on paper,"26 x 40"" (66 x 101.6 cm)",Gift of the Friends of Contemporary Drawing,Drawing,Drawings & Prints,5/17/00,Y,35475,http://www.moma.org/collection/works/35475,http://www.moma.org/media/W1siZiIsIjMwODI3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=59641b918f589072,66,101.6
House - South Rotation: 3 Northwest,Kevin Appel,8203,"(American, born 1967)",(American),(Male),Synthetic polymer paint on paper,"26 x 40"" (66 x 101.6 cm)",Gift of the Friends of Contemporary Drawing,Drawing,Drawings & Prints,5/17/00,Y,35476,http://www.moma.org/collection/works/35476,http://www.moma.org/media/W1siZiIsIjMwODI3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d98dcd1a2e3ae4ff,66,101.6
House - South Rotation Red: 4 West,Kevin Appel,8203,"(American, born 1967)",(American),(Male),Synthetic polymer paint on paper,"26 x 40"" (66 x 101.6 cm)",Gift of the Friends of Contemporary Drawing,Drawing,Drawings & Prints,5/17/00,Y,35477,http://www.moma.org/collection/works/35477,http://www.moma.org/media/W1siZiIsIjMwODI4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3b0ff2bdd72c1922,66,101.6
Spectrum Colors Arranged by Chance VI,Ellsworth Kelly,3048,"(American, 1923‰Û_015)",(American),(Male),Cut-and-pasted color-coated paper and pencil on four sheets of black paper,"37 1/4 x 37 1/4"" (94.6 x 94.6 cm)","Purchased with funds provided by The Edward John Noble Foundation, The Herbert and Nanette Rothschild Fund, and Mrs. Pierre Matisse",Drawing,Drawings & Prints,5/17/00,Y,35484,http://www.moma.org/collection/works/35484,http://www.moma.org/media/W1siZiIsIjE2NDM4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c7bef8b69f3d9676,94.6,94.6
Untitled,Yayoi Kusama,3315,"(Japanese, born 1929)",(Japanese),(Female),Ink on paper,"15 3/4 x 11 7/8"" (40 x 30 cm)",Purchase,Drawing,Drawings & Prints,5/17/00,Y,35490,http://www.moma.org/collection/works/35490,http://www.moma.org/media/W1siZiIsIjIzNDk1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=32890c471271a184,40,30.2
Untitled,Yayoi Kusama,3315,"(Japanese, born 1929)",(Japanese),(Female),Charcoal and ink on paper,"15 3/4 x 11 7/8"" (40 x 30 cm)",Purchase,Drawing,Drawings & Prints,5/17/00,Y,35495,http://www.moma.org/collection/works/35495,http://www.moma.org/media/W1siZiIsIjIwNzU0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=acaee56ebb4fe25d,40,30.2
No Title (Dumped in Arizona...),Raymond Pettibon,7500,"(American, born 1957)",(American),(Male),Brush and black and colored ink on paper,"10 1/4 x 8 1/4"" (26.3 x 21 cm)",Gift of the Friends of Contemporary Drawing,Drawing,Drawings & Prints,5/17/00,Y,35558,http://www.moma.org/collection/works/35558,http://www.moma.org/media/W1siZiIsIjIwMzUzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=578ce4b5548bd5c8,26,21
No Title (Don't complicate...),Raymond Pettibon,7500,"(American, born 1957)",(American),(Male),Ink and gouache on paper,"24 x 18"" (60.9 x 45.7 cm)",Gift of the Friends of Contemporary Drawing,Drawing,Drawings & Prints,5/17/00,Y,35564,http://www.moma.org/collection/works/35564,http://www.moma.org/media/W1siZiIsIjg4OTc2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=ac0a55b4fcb63e9a,61,45.7
No Title (With his unshrinking...),Raymond Pettibon,7500,"(American, born 1957)",(American),(Male),Ink on paper,"13 7/8 x 11"" (35.3 x 28 cm)",Gift of the Friends of Contemporary Drawing,Drawing,Drawings & Prints,5/17/00,Y,35571,http://www.moma.org/collection/works/35571,http://www.moma.org/media/W1siZiIsIjg4OTc3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=07ca6516ecbb6185,35.2,27.9
No Title (Not a single armorer...),Raymond Pettibon,7500,"(American, born 1957)",(American),(Male),Brush and ink on paper,"23 5/8 x 18"" (60 x 45.7 cm)",Gift of the Friends of Contemporary Drawing,Drawing,Drawings & Prints,5/17/00,Y,35583,http://www.moma.org/collection/works/35583,http://www.moma.org/media/W1siZiIsIjIyNzI4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=74915ab7534a73c0,60,45.7
No Title (I'm longing for it),Raymond Pettibon,7500,"(American, born 1957)",(American),(Male),Pen and ink on paper,"30 x 22"" (76.2 x 55.8 cm)",Gift of the Friends of Contemporary Drawing,Drawing,Drawings & Prints,5/17/00,Y,35589,http://www.moma.org/collection/works/35589,http://www.moma.org/media/W1siZiIsIjIwMzUzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0a5228dad9e1fa05,76.2,55.9
No Title (In the midsts...),Raymond Pettibon,7500,"(American, born 1957)",(American),(Male),Brush and ink on paper,"30 1/4 x 22"" (76.5 x 55.8 cm)",Gift of the Friends of Contemporary Drawing,Drawing,Drawings & Prints,5/17/00,Y,35598,http://www.moma.org/collection/works/35598,http://www.moma.org/media/W1siZiIsIjIwMzk0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e44002b6031eaad6,76.8,55.9
Untitled,Sigmar Polke,4671,"(German, 1941‰Û_010)",(German),(Male),Synthetic polymer paint on paper,"29 x 29 3/8"" (73.5 x 74.5 cm)",Anonymous fractional and promised gift,Drawing,Drawings & Prints,5/17/00,Y,35607,http://www.moma.org/collection/works/35607,http://www.moma.org/media/W1siZiIsIjIyNDAzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2d589924b6462b23,73.7,74.6
Apparition in the Window,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Charcoal and chalk on paper,"18 1/8 x 12 3/8"" (46 x 31.4 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35615,http://www.moma.org/collection/works/35615,http://www.moma.org/media/W1siZiIsIjk3MDgyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=23db6d51201c0ce3,46.0376,31.4
The Blessing,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Watercolor and gouache on paper,"10 1/4 x 7 1/2"" (26 x 19.1 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35625,http://www.moma.org/collection/works/35625,http://www.moma.org/media/W1siZiIsIjkzNDgxIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=83cfa8dbe86f3fa8,26.0351,19.05
The Blue Vase,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),"Watercolor, pencil, and contÌ© crayon on paper","10 7/8 x 7 7/8"" (27.6 x 20 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35636,http://www.moma.org/collection/works/35636,http://www.moma.org/media/W1siZiIsIjkzNDgyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=608b39beb9a15f0f,27.6226,20.0025
The Chimera,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Charcoal on paper,"19 1/2 x 14"" (49.5 x 35.6 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35645,http://www.moma.org/collection/works/35645,http://www.moma.org/media/W1siZiIsIjg1OTM2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=77ffca0a3d1719b6,49.5301,35.6
Christ on the Cross,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),"Colored chalk, gouache, and chalk on canvas","26 1/4 x 19"" (66.7 x 48.3 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35669,http://www.moma.org/collection/works/35669,http://www.moma.org/media/W1siZiIsIjk3MDgzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=fd5e21d450eb9979,66.6751,48.2601
Christ,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),"Charcoal, chalk, pastel, and pencil on paper","17 3/4 x 14 5/8"" (45.1 x 37.1 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35678,http://www.moma.org/collection/works/35678,http://www.moma.org/media/W1siZiIsIjg1OTM3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=10bce7dd487c3710,45.0851,37.1
The Closed Eyes,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),ContÌ© crayon and lithographic tusche on transfer paper,"14 x 10 1/8"" (35.6 x 26.2 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35690,http://www.moma.org/collection/works/35690,http://www.moma.org/media/W1siZiIsIjkzNDgzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=63c5c5821fea6bce,35.6,25.7
Diana,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Ink and colored ink on paper,"8 3/4 x 5 5/8"" (22.2 x 14.3 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35700,http://www.moma.org/collection/works/35700,http://www.moma.org/media/W1siZiIsIjk3MDg0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=e9a97f991fee2bc8,22.2,14.2875
The Dream Finished by Death,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Charcoal and chalk on paper on board,"19 3/4 x 13 1/2"" (50.2 x 34.3 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35710,http://www.moma.org/collection/works/35710,http://www.moma.org/media/W1siZiIsIjg4MjQyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=8ba97e2ec1ea2ceb,50.2,34.3
Fight of the Centaurs,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),"Watercolor, ink, and contÌ© crayon on paper","7 x 10"" (17.8 x 25.3 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35721,http://www.moma.org/collection/works/35721,http://www.moma.org/media/W1siZiIsIjkzNDg1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=bfad2077b87cc4f7,17.8,25.4
Germination,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),"Pastel, chalk, and pencil on colored paper","20 1/2 x 14 7/8"" (52.1 x 37.8 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35730,http://www.moma.org/collection/works/35730,http://www.moma.org/media/W1siZiIsIjg4MjQzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=54c0d13a099e758a,52.1,37.7826
The Giant,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Oil on prepared paper,"25 1/2 x 20 1/4"" (64.8 x 51.4 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35741,http://www.moma.org/collection/works/35741,http://www.moma.org/media/W1siZiIsIjk3MjI5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=f36dd139562369a5,64.7701,51.4351
The Celt,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),"Charcoal, chalk, and white chalk on paper","17 7/8 x 14 3/8"" (45.4 x 36.5 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35751,http://www.moma.org/collection/works/35751,http://www.moma.org/media/W1siZiIsIjg1OTI4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=5fc6285ed7638dd6,45.4026,36.5
Head of a Young Girl,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Pencil on paper,"9 x 7 1/8"" (22.9 x 18.1 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35764,http://www.moma.org/collection/works/35764,http://www.moma.org/media/W1siZiIsIjkzNDg2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=ffe38d8a5ed4f975,22.9,18.0975
The Heart Has Its Reasons,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Lithographic tusche and lithographic crayon on transfer paper,"6 1/2 x 6 1/4"" (16.5 x 15.2 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35776,http://www.moma.org/collection/works/35776,http://www.moma.org/media/W1siZiIsIjcxMjQ1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=847f10d93e2ca675,16.5,15.875
Nude Woman Seen from Behind,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Charcoal and chalk on paper on cardstock,"20 1/4 x 12 3/8"" (51.4 x 31.4 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35789,http://www.moma.org/collection/works/35789,http://www.moma.org/media/W1siZiIsIjk3MDg1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=81a88e7cd22bc27d,51.4,31.4
On the Backdrop of Our Nights,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Lithographic crayon on transfer paper,"9 5/8 x 8 5/8"" (24.4 x 21.9 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35801,http://www.moma.org/collection/works/35801,http://www.moma.org/media/W1siZiIsIjg1OTI5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=b396d3567906e4c1,24.4475,21.9075
Portrait of a Youth from Left,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Pastel with colored chalk on colored paper,"23 1/2 x 18 1/2"" (59.7 x 47 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35815,http://www.moma.org/collection/works/35815,http://www.moma.org/media/W1siZiIsIjg1OTMwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=269e66be5e307f9b,59.6901,46.9901
Profile of a Woman,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Watercolor on paper,"11 x 7"" (27.9 x 17.8 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35829,http://www.moma.org/collection/works/35829,http://www.moma.org/media/W1siZiIsIjkzNDg4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=a612de4359ef222c,27.9401,17.78
The Queen of Sheba II,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Ink and pencil on paper,"9 1/4 x 11"" (23.5 x 27.9 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35840,http://www.moma.org/collection/works/35840,http://www.moma.org/media/W1siZiIsIjkzNDg5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=4fd5f8580eb22525,23.5,27.9
Trees,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Pencil on colored paper,"16 3/4 x 11 5/8"" (42.5 x 29.5 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35854,http://www.moma.org/collection/works/35854,http://www.moma.org/media/W1siZiIsIjkzNDkwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=8c37a9be69a78651,42.5451,29.5276
Virgin under the Arch,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Pastel on colored paper,"20 3/4 x 14 7/8"" (52.7 x 37.8 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35866,http://www.moma.org/collection/works/35866,http://www.moma.org/media/W1siZiIsIjg1OTMxIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=805335b2e72ee4bb,52.7051,37.7826
Winged Horseman,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Pencil on paper,"16 x 10 1/8"" (40.6 x 26.2 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35876,http://www.moma.org/collection/works/35876,http://www.moma.org/media/W1siZiIsIjkzNDkxIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=0133dcb37b0481dd,40.6,25.7
The Well,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Charcoal and chalk on paper,"14 x 9 3/8"" (35.6 x 23.8 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35885,http://www.moma.org/collection/works/35885,http://www.moma.org/media/W1siZiIsIjg4MjQ0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=c4a54379277338a9,35.6,23.8
The Battle,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),"Charcoal, on colored paper","25 x 44 3/4"" (63.5 x 113.7 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35896,http://www.moma.org/collection/works/35896,http://www.moma.org/media/W1siZiIsIjg4MjQ1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=6eb44d8672aa8b27,63.5,113.6652
The Head of Saint John the Baptist (after Andrea Solario),Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Pencil and chalk on paper,"11 1/2 x 13 3/8"" (29.2 x 34 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35905,http://www.moma.org/collection/works/35905,http://www.moma.org/media/W1siZiIsIjg4MjQ2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=4809a504af44ab19,29.2,33.9726
Centaur Aiming at the Clouds,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Pencil on paper,"10 1/2 x 8 7/8"" (26.5 x 22.6 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35939,http://www.moma.org/collection/works/35939,http://www.moma.org/media/W1siZiIsIjcxNTIyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=ac6254686480b6b2,26.7,22.5
"a) Mephistopheles, also known as Harlequin (recto)  b) Winged Figure with Serpent (verso)",Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Pencil and colored contÌ© crayon on paper,"6 5/8 x 5"" (16.8 x 12.7 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35950,http://www.moma.org/collection/works/35950,http://www.moma.org/media/W1siZiIsIjk3MDg3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=1dec28ff5ade4001,16.8,12.7
Windmill,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Pastel on colored paper,"16 5/8 x 20 3/8"" (42.2 x 51.8 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35962,http://www.moma.org/collection/works/35962,http://www.moma.org/media/W1siZiIsIjg4MjQ3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=7875c240f15612b4,42.2276,51.7526
Portrait of a Young Man (after Holbein),Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Pencil on colored paper,"9 1/8 x 7 1/8"" (23.2 x 18.1 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35970,http://www.moma.org/collection/works/35970,http://www.moma.org/media/W1siZiIsIjkzNDkyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=354f94200414b91f,23.1775,18.0975
The Eye,Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),"Watercolor, gouache, and contÌ© crayon on paper","10 x 7"" (25.4 x 17.7 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35977,http://www.moma.org/collection/works/35977,http://www.moma.org/media/W1siZiIsIjkzNDkzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=8b492ade6ef6fb66,25.4,17.8
The Teeth (Les Dents),Odilon Redon,4840,"(French, 1840‰Û_916)",(French),(Male),Charcoal and chalk on paper,"20 1/8 x 14 1/2"" (51.1 x 36.8 cm)",Gift of The Ian Woodner Family Collection,Drawing,Drawings & Prints,5/17/00,Y,35984,http://www.moma.org/collection/works/35984,http://www.moma.org/media/W1siZiIsIjcxNTIzIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=33cadd390d652c51,51.1,36.8
