"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy","Partner Economy Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2016","","","","5453.85"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2007","","","","1906"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2008","","","","1950"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2009","","","","1462"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2010","","","","1622"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2011","","","","2010"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2012","","","","1604.224"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2013","","","","1237"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2017","","","","451.945"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2016","","","","400.265"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group and destination – annual","032","Argentina","076","Brazil","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2014","","","","1046.741"
